Site,Season,OM,AFDM,SC
EAS,October,CBOM,12.31,16.4
EAS,October,CBOM,0.53,16.4
EAS,October,CBOM,7.3,16.4
EAS,October,CBOM,2.36,16.4
EAS,October,CBOM,1.61,16.4
RUT,October,CBOM,8.63,446.72
RUT,October,CBOM,0.36,446.72
RUT,October,CBOM,3.01,446.72
RUT,October,CBOM,10.52,446.72
RUT,October,CBOM,1.23,446.72
LLW,October,CBOM,3.43,1048.91
LLW,October,CBOM,5.02,1048.91
LLW,October,CBOM,0.18,1048.91
LLW,October,CBOM,0.36,1048.91
LLW,October,CBOM,10.42,1048.91
CRO,October,CBOM,22.53,39.95
CRO,October,CBOM,8.13,39.95
CRO,October,CBOM,5.59,39.95
CRO,October,CBOM,4.41,39.95
CRO,October,CBOM,0.36,39.95
LLC,October,CBOM,1.72,1082.63
LLC,October,CBOM,5.76,1082.63
LLC,October,CBOM,0.85,1082.63
LLC,October,CBOM,26.39,1082.63
LLC,October,CBOM,0.36,1082.63
HCN,October,CBOM,6.21,76.63
HCN,October,CBOM,3.6,76.63
HCN,October,CBOM,1.27,76.63
HCN,October,CBOM,4.8,76.63
HCN,October,CBOM,4.25,76.63
HUR,October,CBOM,7.91,292.6
HUR,October,CBOM,1.78,292.6
HUR,October,CBOM,5.5,292.6
HUR,October,CBOM,2.08,292.6
HUR,October,CBOM,2.28,292.6
FRY,October,CBOM,6.4,349.77
FRY,October,CBOM,14.21,349.77
FRY,October,CBOM,6.99,349.77
FRY,October,CBOM,7.4,349.77
FRY,October,CBOM,4.19,349.77
RIC,October,CBOM,0.51,1184.81
RIC,October,CBOM,2.92,1184.81
RIC,October,CBOM,0.18,1184.81
RIC,October,CBOM,0.36,1184.81
RIC,October,CBOM,0.52,1184.81
EAS,February,CBOM,0.49,16.4
EAS,February,CBOM,22.25,16.4
EAS,February,CBOM,0.52,16.4
EAS,February,CBOM,2.39,16.4
EAS,February,CBOM,0.85,16.4
RUT,February,CBOM,7.76,446.72
RUT,February,CBOM,0.45,446.72
RUT,February,CBOM,0,446.72
RUT,February,CBOM,16.62,446.72
RUT,February,CBOM,5.17,446.72
LLW,February,CBOM,0.51,1048.91
LLW,February,CBOM,0.68,1048.91
LLW,February,CBOM,2.1,1048.91
LLW,February,CBOM,6.5,1048.91
LLW,February,CBOM,1.08,1048.91
CRO,February,CBOM,5.57,39.95
CRO,February,CBOM,0.46,39.95
CRO,February,CBOM,0.33,39.95
CRO,February,CBOM,0.5,39.95
CRO,February,CBOM,0.34,39.95
LLC,February,CBOM,0.69,1082.63
LLC,February,CBOM,1.03,1082.63
LLC,February,CBOM,0.66,1082.63
LLC,February,CBOM,0.17,1082.63
LLC,February,CBOM,0.5,1082.63
HCN,February,CBOM,0.18,76.63
HCN,February,CBOM,3.05,76.63
HCN,February,CBOM,0.35,76.63
HCN,February,CBOM,0.18,76.63
HCN,February,CBOM,3.59,76.63
HUR,February,CBOM,0.83,292.6
HUR,February,CBOM,3.21,292.6
HUR,February,CBOM,1.4,292.6
HUR,February,CBOM,7.71,292.6
HUR,February,CBOM,7.19,292.6
FRY,February,CBOM,0.66,349.77
FRY,February,CBOM,3.9,349.77
FRY,February,CBOM,0.35,349.77
FRY,February,CBOM,1.01,349.77
FRY,February,CBOM,1.5,349.77
RIC,February,CBOM,2.31,1184.81
RIC,February,CBOM,25.22,1184.81
RIC,February,CBOM,1.02,1184.81
RIC,February,CBOM,1.52,1184.81
RIC,February,CBOM,0.5,1184.81
EAS,May,CBOM,0.97,16.4
EAS,May,CBOM,2.32,16.4
EAS,May,CBOM,4.62,16.4
EAS,May,CBOM,11.68,16.4
EAS,May,CBOM,3.24,16.4
RUT,May,CBOM,5.47,446.72
RUT,May,CBOM,2.34,446.72
RUT,May,CBOM,18.8,446.72
RUT,May,CBOM,5.19,446.72
RUT,May,CBOM,12.94,446.72
LLW,May,CBOM,,1048.91
LLW,May,CBOM,0,1048.91
LLW,May,CBOM,0.15,1048.91
LLW,May,CBOM,0.17,1048.91
LLW,May,CBOM,,1048.91
CRO,May,CBOM,13.13,39.95
CRO,May,CBOM,6.44,39.95
CRO,May,CBOM,1.88,39.95
CRO,May,CBOM,0,39.95
CRO,May,CBOM,7.14,39.95
LLC,May,CBOM,,1082.63
LLC,May,CBOM,0,1082.63
LLC,May,CBOM,1.03,1082.63
LLC,May,CBOM,1.18,1082.63
LLC,May,CBOM,0,1082.63
HCN,May,CBOM,0,76.63
HCN,May,CBOM,3.49,76.63
HCN,May,CBOM,0,76.63
HCN,May,CBOM,6.94,76.63
HCN,May,CBOM,17.24,76.63
HUR,May,CBOM,0,292.6
HUR,May,CBOM,1.94,292.6
HUR,May,CBOM,0.15,292.6
HUR,May,CBOM,18.66,292.6
HUR,May,CBOM,0.52,292.6
FRY,May,CBOM,0,349.77
FRY,May,CBOM,2.22,349.77
FRY,May,CBOM,0.93,349.77
FRY,May,CBOM,2.26,349.77
FRY,May,CBOM,14.72,349.77
RIC,May,CBOM,12.4,1184.81
RIC,May,CBOM,13.41,1184.81
RIC,May,CBOM,11,1184.81
RIC,May,CBOM,19.8,1184.81
RIC,May,CBOM,0.31,1184.81
EAS,August,CBOM,6.41,16.4
EAS,August,CBOM,7.2,16.4
EAS,August,CBOM,4.81,16.4
EAS,August,CBOM,1.03,16.4
EAS,August,CBOM,0.68,16.4
RUT,August,CBOM,3.54,446.72
RUT,August,CBOM,10.17,446.72
RUT,August,CBOM,0.66,446.72
RUT,August,CBOM,12.48,446.72
RUT,August,CBOM,9.64,446.72
LLW,August,CBOM,,1048.91
LLW,August,CBOM,1.97,1048.91
LLW,August,CBOM,1.82,1048.91
LLW,August,CBOM,0,1048.91
LLW,August,CBOM,,1048.91
CRO,August,CBOM,2.01,39.95
CRO,August,CBOM,2.45,39.95
CRO,August,CBOM,22.87,39.95
CRO,August,CBOM,4.84,39.95
CRO,August,CBOM,7.14,39.95
LLC,August,CBOM,,1082.63
LLC,August,CBOM,21.97,1082.63
LLC,August,CBOM,8.86,1082.63
LLC,August,CBOM,0.65,1082.63
LLC,August,CBOM,17.36,1082.63
HCN,August,CBOM,1.85,76.63
HCN,August,CBOM,6.23,76.63
HCN,August,CBOM,3.65,76.63
HCN,August,CBOM,4.72,76.63
HCN,August,CBOM,5.48,76.63
HUR,August,CBOM,1.02,292.6
HUR,August,CBOM,25.7,292.6
HUR,August,CBOM,,292.6
HUR,August,CBOM,,292.6
HUR,August,CBOM,0.43,292.6
FRY,August,CBOM,,349.77
FRY,August,CBOM,4.75,349.77
FRY,August,CBOM,0.59,349.77
FRY,August,CBOM,3.42,349.77
FRY,August,CBOM,2.61,349.77
RIC,August,CBOM,7.26,1184.81
RIC,August,CBOM,15.68,1184.81
RIC,August,CBOM,3.93,1184.81
RIC,August,CBOM,6.93,1184.81
RIC,August,CBOM,30.87,1184.81
EAS,October,FBOM,0,16.4
EAS,October,FBOM,70.63,16.4
EAS,October,FBOM,35.04,16.4
EAS,October,FBOM,169.37,16.4
EAS,October,FBOM,120.49,16.4
RUT,October,FBOM,203,446.72
RUT,October,FBOM,311.42,446.72
RUT,October,FBOM,184.79,446.72
RUT,October,FBOM,266.09,446.72
RUT,October,FBOM,132.48,446.72
LLW,October,FBOM,446.96,1048.91
LLW,October,FBOM,45.26,1048.91
LLW,October,FBOM,19.84,1048.91
LLW,October,FBOM,4.05,1048.91
LLW,October,FBOM,321.51,1048.91
CRO,October,FBOM,29.29,39.95
CRO,October,FBOM,330.37,39.95
CRO,October,FBOM,92.57,39.95
CRO,October,FBOM,32.79,39.95
CRO,October,FBOM,,39.95
LLC,October,FBOM,50.4,1082.63
LLC,October,FBOM,80,1082.63
LLC,October,FBOM,1.78,1082.63
LLC,October,FBOM,7.77,1082.63
LLC,October,FBOM,0,1082.63
HCN,October,FBOM,,76.63
HCN,October,FBOM,70.15,76.63
HCN,October,FBOM,85.92,76.63
HCN,October,FBOM,95.85,76.63
HCN,October,FBOM,64.03,76.63
HUR,October,FBOM,406.71,292.6
HUR,October,FBOM,100.51,292.6
HUR,October,FBOM,77.19,292.6
HUR,October,FBOM,68.64,292.6
HUR,October,FBOM,135.29,292.6
FRY,October,FBOM,114.14,349.77
FRY,October,FBOM,130.37,349.77
FRY,October,FBOM,133.31,349.77
FRY,October,FBOM,259.24,349.77
FRY,October,FBOM,141.33,349.77
RIC,October,FBOM,434.27,1184.81
RIC,October,FBOM,52.2,1184.81
RIC,October,FBOM,49.42,1184.81
RIC,October,FBOM,270.93,1184.81
RIC,October,FBOM,223.51,1184.81
EAS,February,FBOM,45,16.4
EAS,February,FBOM,169.85,16.4
EAS,February,FBOM,66.03,16.4
EAS,February,FBOM,54.69,16.4
EAS,February,FBOM,67.51,16.4
RUT,February,FBOM,38.06,446.72
RUT,February,FBOM,24.4,446.72
RUT,February,FBOM,21.59,446.72
RUT,February,FBOM,314.22,446.72
RUT,February,FBOM,118.01,446.72
LLW,February,FBOM,75.2,1048.91
LLW,February,FBOM,88.62,1048.91
LLW,February,FBOM,31.94,1048.91
LLW,February,FBOM,2712.54,1048.91
LLW,February,FBOM,17.8,1048.91
CRO,February,FBOM,23.93,39.95
CRO,February,FBOM,39.31,39.95
CRO,February,FBOM,16.12,39.95
CRO,February,FBOM,22.75,39.95
CRO,February,FBOM,130.07,39.95
LLC,February,FBOM,17.48,1082.63
LLC,February,FBOM,29.85,1082.63
LLC,February,FBOM,11.26,1082.63
LLC,February,FBOM,0,1082.63
LLC,February,FBOM,17.02,1082.63
HCN,February,FBOM,13.11,76.63
HCN,February,FBOM,442.45,76.63
HCN,February,FBOM,7.33,76.63
HCN,February,FBOM,61.45,76.63
HCN,February,FBOM,178.37,76.63
HUR,February,FBOM,72.85,292.6
HUR,February,FBOM,74.95,292.6
HUR,February,FBOM,42.76,292.6
HUR,February,FBOM,1061.97,292.6
HUR,February,FBOM,591.6,292.6
FRY,February,FBOM,19.2,349.77
FRY,February,FBOM,664.63,349.77
FRY,February,FBOM,46.8,349.77
FRY,February,FBOM,185.78,349.77
FRY,February,FBOM,84.73,349.77
RIC,February,FBOM,98.52,1184.81
RIC,February,FBOM,202.3,1184.81
RIC,February,FBOM,164.55,1184.81
RIC,February,FBOM,42.53,1184.81
RIC,February,FBOM,14.22,1184.81
RIC,May,FBOM,272.5,1184.81
RIC,May,FBOM,1134.87,1184.81
RIC,May,FBOM,1442.65,1184.81
RIC,May,FBOM,511.45,1184.81
RIC,May,FBOM,146.93,1184.81
LLC,May,FBOM,147.5,1082.63
LLC,May,FBOM,33.3,1082.63
LLC,May,FBOM,183,1082.63
LLC,May,FBOM,281.05,1082.63
LLC,May,FBOM,62.7,1082.63
LLW,May,FBOM,32.67,1048.91
LLW,May,FBOM,41.43,1048.91
LLW,May,FBOM,155.83,1048.91
LLW,May,FBOM,113.57,1048.91
LLW,May,FBOM,53,1048.91
CRO,May,FBOM,252.78,39.95
CRO,May,FBOM,494,39.95
CRO,May,FBOM,64.21,39.95
CRO,May,FBOM,311.75,39.95
CRO,May,FBOM,,39.95
RUT,May,FBOM,227.73,446.72
RUT,May,FBOM,75.26,446.72
RUT,May,FBOM,1315.56,446.72
RUT,May,FBOM,3366.36,446.72
RUT,May,FBOM,217.88,446.72
HUR,May,FBOM,,292.6
HUR,May,FBOM,848.29,292.6
HUR,May,FBOM,42.35,292.6
HUR,May,FBOM,585.41,292.6
