Site,OM,Season,C,N,C_N,SC
EAS,CBOM,October,43.68,1.03,42.41,16.4
EAS,CBOM,October,45.51,1.47,30.96,16.4
EAS,CBOM,October,45.23,1.21,37.38,16.4
EAS,CBOM,October,45.02,1.19,37.83,16.4
RUT,CBOM,October,43.34,1.03,42.08,446.72
RUT,CBOM,October,37.71,0.84,44.89,446.72
RUT,CBOM,October,46.3,1.39,33.31,446.72
LLW,CBOM,October,28.95,1.17,24.74,1048.91
LLW,CBOM,October,45.9,1.3,35.31,1048.91
LLW,CBOM,October,38.96,1.16,33.59,1048.91
CRO,CBOM,October,44,1.35,32.59,39.95
CRO,CBOM,October,43.72,1.37,31.91,39.95
CRO,CBOM,October,44.52,1.4,31.8,39.95
CRO,CBOM,October,44.66,1.51,29.58,39.95
LLC,CBOM,October,46.04,1.22,37.74,1082.63
LLC,CBOM,October,45.11,1.28,35.24,1082.63
LLC,CBOM,October,47.22,1.24,38.08,1082.63
HCN,CBOM,October,46.65,1.85,25.22,76.63
HCN,CBOM,October,45.94,1.44,31.9,76.63
HCN,CBOM,October,46.65,1.78,26.21,76.63
HUR,CBOM,October,45.12,1.3,34.71,292.6
HUR,CBOM,October,40.96,1.27,32.25,292.6
HUR,CBOM,October,43.11,1.06,40.67,292.6
FRY,CBOM,October,45.2,1.37,32.99,349.77
FRY,CBOM,October,43.24,1.59,27.19,349.77
FRY,CBOM,October,46.53,1.35,34.47,349.77
FRY,CBOM,October,45.09,1.39,32.44,349.77
RIC,CBOM,October,44.1,1.64,26.89,1184.81
RIC,CBOM,October,41.8,0.74,56.49,1184.81
RIC,CBOM,October,43.41,1.53,28.37,1184.81
EAS,FBOM,October,4.26,0.36,11.83,16.4
EAS,FBOM,October,1.73,0.37,4.68,16.4
EAS,FBOM,October,2.41,0.17,14.18,16.4
EAS,FBOM,October,5.44,0.5,10.88,16.4
RUT,FBOM,October,9.33,0.61,15.3,446.72
RUT,FBOM,October,9.21,0.49,18.8,446.72
RUT,FBOM,October,6.35,0.44,14.43,446.72
LLW,FBOM,October,5.88,0.46,12.78,1048.91
LLW,FBOM,October,3.72,0.26,14.31,1048.91
LLW,FBOM,October,9.33,0.2,46.65,1048.91
LLW,FBOM,October,NA,NA,NA,1048.91
CRO,FBOM,October,7.3,0.5,14.6,39.95
CRO,FBOM,October,5.72,0.48,11.92,39.95
CRO,FBOM,October,5.46,0.43,12.7,39.95
CRO,FBOM,October,NA,NA,NA,39.95
LLC,FBOM,October,5.16,0.36,14.33,1082.63
LLC,FBOM,October,5.01,0.32,15.66,1082.63
LLC,FBOM,October,4.74,0.35,13.54,1082.63
HCN,FBOM,October,5.28,0.28,18.86,76.63
HCN,FBOM,October,7.75,0.22,35.23,76.63
HCN,FBOM,October,5.34,0.72,7.42,76.63
HCN,FBOM,October,NA,NA,NA,76.63
HUR,FBOM,October,4.03,0.33,12.21,292.6
HUR,FBOM,October,5.13,0.37,13.86,292.6
HUR,FBOM,October,4.01,0.25,16.04,292.6
FRY,FBOM,October,7.1,0.57,12.46,349.77
FRY,FBOM,October,7.62,0.43,17.72,349.77
FRY,FBOM,October,NA,NA,NA,349.77
FRY,FBOM,October,7.06,0.47,15.02,349.77
RIC,FBOM,October,5.88,0.2,29.4,1184.81
RIC,FBOM,October,3.72,0.32,11.63,1184.81
RIC,FBOM,October,9.33,0.41,22.76,1184.81
RIC,FBOM,October,NA,NA,NA,1184.81
EAS,Periphyton,October,4.84,0.59,8.2,16.4
EAS,Periphyton,October,4.84,0.53,9.13,16.4
EAS,Periphyton,October,8.41,1.01,8.33,16.4
EAS,Periphyton,October,NA,NA,NA,16.4
RUT,Periphyton,October,4.81,0.42,11.45,446.72
RUT,Periphyton,October,8.07,0.72,11.21,446.72
RUT,Periphyton,October,9.23,0.94,9.82,446.72
