Site,OM,Season,Year,d13C,d15N,SC
EAS,CBOM,October,2023,-29.32,-0.67,16.4
EAS,CBOM,October,2023,-28.87,-2.12,16.4
EAS,CBOM,October,2023,-29.73,-0.95,16.4
EAS,CBOM,October,2023,-29.47,-0.62,16.4
RUT,CBOM,October,2023,-29.54,-0.91,446.72
RUT,CBOM,October,2023,-28.62,-1.06,446.72
RUT,CBOM,October,2023,-30.32,-0.43,446.72
LLW,CBOM,October,2023,-29.89,0.7,1048.91
LLW,CBOM,October,2023,-30.39,0.95,1048.91
LLW,CBOM,October,2023,-29.23,1.01,1048.91
LLW,CBOM,October,2023,NA,NA,1048.91
CRO,CBOM,October,2023,-30.36,-0.44,39.95
CRO,CBOM,October,2023,-30.25,-0.53,39.95
CRO,CBOM,October,2023,-29.02,-0.89,39.95
CRO,CBOM,October,2023,-29.44,-0.69,39.95
LLC,CBOM,October,2023,-31.2,1.46,1082.63
LLC,CBOM,October,2023,-30.02,2.16,1082.63
LLC,CBOM,October,2023,-30.25,2.36,1082.63
HCN,CBOM,October,2023,-30.03,-1.31,76.63
HCN,CBOM,October,2023,-29.68,0.47,76.63
HCN,CBOM,October,2023,-30.59,-0.09,76.63
HCN,CBOM,October,2023,NA,NA,76.63
HUR,CBOM,October,2023,-28.91,0.34,292.6
HUR,CBOM,October,2023,-29.71,-0.67,292.6
HUR,CBOM,October,2023,-29.97,-0.99,292.6
FRY,CBOM,October,2023,-29.93,0.2,349.77
FRY,CBOM,October,2023,-28.8,0.92,349.77
FRY,CBOM,October,2023,-29,-0.17,349.77
FRY,CBOM,October,2023,-29.22,0.25,349.77
RIC,CBOM,October,2023,-30.4,0.52,1184.81
RIC,CBOM,October,2023,-29.54,-0.27,1184.81
RIC,CBOM,October,2023,-29.15,0.25,1184.81
RIC,CBOM,October,2023,NA,NA,1184.81
EAS,FBOM,October,2023,-27.85,1.53,16.4
EAS,FBOM,October,2023,-27.7,1.73,16.4
EAS,FBOM,October,2023,-27.87,1.69,16.4
EAS,FBOM,October,2023,-28.07,1.33,16.4
RUT,FBOM,October,2023,-28.18,1.23,446.72
RUT,FBOM,October,2023,-28.1,0.55,446.72
RUT,FBOM,October,2023,-28.34,0.92,446.72
LLW,FBOM,October,2023,-27.27,1.47,1048.91
LLW,FBOM,October,2023,-26.05,1.57,1048.91
LLW,FBOM,October,2023,-27.8,1.88,1048.91
LLW,FBOM,October,2023,NA,1.64,1048.91
CRO,FBOM,October,2023,-28.85,0.38,39.95
CRO,FBOM,October,2023,-28.66,0.02,39.95
CRO,FBOM,October,2023,-28.69,0.65,39.95
CRO,FBOM,October,2023,NA,-0.04,39.95
LLC,FBOM,October,2023,-27.22,1.57,1082.63
LLC,FBOM,October,2023,-27.59,1.06,1082.63
LLC,FBOM,October,2023,-26.97,1.25,1082.63
HCN,FBOM,October,2023,-29.23,0.59,76.63
HCN,FBOM,October,2023,-33.44,0.2,76.63
HCN,FBOM,October,2023,-29.64,0.1,76.63
HCN,FBOM,October,2023,NA,0.13,76.63
HUR,FBOM,October,2023,-28.16,0.97,292.6
HUR,FBOM,October,2023,-28.14,0.31,292.6
HUR,FBOM,October,2023,-28,0.55,292.6
FRY,FBOM,October,2023,-26.7,1.17,349.77
FRY,FBOM,October,2023,-26.71,1,349.77
FRY,FBOM,October,2023,-27.05,1.01,349.77
FRY,FBOM,October,2023,-27.11,NA,349.77
RIC,FBOM,October,2023,-25.33,NA,1184.81
RIC,FBOM,October,2023,-26.21,2.72,1184.81
RIC,FBOM,October,2023,-26.29,2.48,1184.81
RIC,FBOM,October,2023,-26.14,3.03,1184.81
